telegram_message_id,raw_message_id,message_type,symbol,intents,validation_warnings,raw_text
280,1938,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]",[],"[trader#A]

1 тейк, заработали 19.7% чистого движения. Стоп обязательно на точку входа, кто не закрывал позицию.

Поздравляю!"
281,1937,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]",[],"[trader#A]

1 тейк, стоп на точку входа. Лимитку на усреднение обязательно убираем

Поздравляю с 2.48% чистого движения!"
332,1889,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]",[],"[trader#A]

1 тейк!

Поздравляю! Заработали чистыми 4.38%, а кто усреднял, около 6.5%

Стоп на точку входа, обязательно!"
406,1824,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]","[""trader_a_ambiguous_update_without_target""]","[trader#A]


По всем моим оставшимся шортам нужно перевести стоп в безубыток, обязательно"
407,1823,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]",[],"[trader#A]

https://t.me/c/3171748254/379

https://t.me/c/3171748254/290

Вот по этим шортам стоп должен стоять в безубытке"
425,1810,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]",[],"[trader#A]

Так, тут тейк. 8.8%

Поздравляю. Стоп на точку входа"
483,1771,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]",[],"[trader#A]

1 тейк, стоп на точку входа

поздравляю"
487,1767,UNCLASSIFIED,,"[""U_CLOSE_FULL""]",[],"[trader#A]

закрываю в убыток 3%"
488,1766,UNCLASSIFIED,,"[""U_CLOSE_FULL""]",[],"[trader#A]

закрываю по текущим. чуть меньше 1% прибыли"
489,1765,UNCLASSIFIED,,"[""U_CLOSE_FULL""]",[],"[trader#A]

закрываю по текущим на точке входа"
490,1764,UNCLASSIFIED,,"[""U_CLOSE_FULL""]",[],"[trader#A]

закрываю. не приятный минус"
493,1762,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]",[],"[trader#A]

1 тейк. поздравляю

хоть немного минуса прикрыли

по шортам стоп на точку входа"
536,1739,UNCLASSIFIED,,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]",[],"[trader#A]

Давайте стоп поставим на точку входа, точнее немного выше, чтобы отбить комиссию, 1 тейк должны сегодня забрать

p.s. если возьмет стоп, значит чуть ниже перезайдем"
2922,104,UNCLASSIFIED,WOO,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]","[""trader_a_ambiguous_update_without_target""]","Trader #A 

WOO и ATP стопы в бу"
2923,103,UNCLASSIFIED,PYTH,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]","[""trader_a_ambiguous_update_without_target""]","Trader #A 

PYTH тоже стоп в бу"
